id_venta,fecha,ciudad,categoria,producto,cantidad,precio_unitario,ingresos,canal
1,2025-04-29,Bogotá,Tecnología,Portátil Lenovo IdeaPad 3,1,2400000,2400000,Tienda física
2,2025-05-28,Medellín,Papelería,Kit marcadores x12,1,35000,35000,En línea
3,2024-06-26,Bogotá,Muebles,Silla ergonómica,1,890000,890000,Tienda física
4,2025-02-04,Cartagena,Tecnología,Teclado mecánico Redragon,2,210000,420000,En línea
5,2025-09-04,Bogotá,Hogar,Cafetera Oster 12 tazas,1,240000,240000,Tienda física
6,2024-09-30,Cartagena,Tecnología,"Monitor Samsung 24""",1,780000,780000,Tienda física
7,2025-09-06,Pereira,Hogar,Cafetera Oster 12 tazas,2,240000,480000,En línea
8,2025-02-11,Bucaramanga,Hogar,Sanduchera Black+Decker,2,120000,240000,Tienda física
9,2025-06-16,Bogotá,Tecnología,Portátil Lenovo IdeaPad 3,1,2400000,2400000,En línea
10,2024-07-06,Cali,Tecnología,"Monitor Samsung 24""",1,780000,780000,En línea
11,2024-10-26,Pereira,Tecnología,Audífonos Sony WH-CH520,1,320000,320000,Tienda física
12,2025-04-03,Bogotá,Tecnología,Audífonos Sony WH-CH520,3,320000,960000,En línea
13,2025-12-27,Barranquilla,Hogar,Licuadora Oster Pro,2,310000,620000,Tienda física
14,2025-08-10,Medellín,Tecnología,Teclado mecánico Redragon,1,210000,210000,En línea
15,2024-06-21,Medellín,Papelería,Resma papel A4,4,22000,88000,Tienda física
16,2024-11-11,Bogotá,Papelería,Resma papel A4,2,22000,44000,En línea
17,2025-02-20,Bucaramanga,Tecnología,Teclado mecánico Redragon,2,210000,420000,En línea
18,2024-06-26,Bogotá,Papelería,Cuaderno argollado,2,18000,36000,En línea
19,2024-04-03,Medellín,Hogar,Licuadora Oster Pro,3,310000,930000,En línea
20,2024-11-03,Pereira,Papelería,Cuaderno argollado,2,18000,36000,Tienda física
21,2024-01-09,Cali,Hogar,Cafetera Oster 12 tazas,2,240000,480000,En línea
22,2025-04-30,Medellín,Tecnología,"Monitor Samsung 24""",1,780000,780000,Tienda física
23,2025-10-31,Bogotá,Tecnología,Teclado mecánico Redragon,2,210000,420000,Tienda física
24,2025-10-27,Cali,Tecnología,Teclado mecánico Redragon,2,210000,420000,En línea
25,2025-07-30,Cali,Muebles,Lámpara de pie LED,3,180000,540000,En línea
26,2024-09-20,Bucaramanga,Tecnología,Portátil Lenovo IdeaPad 3,4,2400000,9600000,Tienda física
27,2024-09-05,Pereira,Tecnología,"Monitor Samsung 24""",4,780000,3120000,En línea
28,2024-12-25,Barranquilla,Tecnología,"Monitor Samsung 24""",3,780000,2340000,En línea
29,2024-12-21,Bucaramanga,Muebles,Lámpara de pie LED,1,180000,180000,En línea
30,2024-06-21,Bogotá,Muebles,Lámpara de pie LED,3,180000,540000,En línea
31,2025-12-29,Medellín,Hogar,Licuadora Oster Pro,1,310000,310000,En línea
32,2024-06-30,Bogotá,Tecnología,Mouse Logitech M185,2,65000,130000,En línea
33,2024-03-01,Bucaramanga,Hogar,Licuadora Oster Pro,1,310000,310000,Tienda física
34,2024-03-01,Bogotá,Tecnología,Teclado mecánico Redragon,2,210000,420000,En línea
35,2025-12-04,Cartagena,Muebles,Lámpara de pie LED,2,180000,360000,Tienda física
36,2024-06-06,Medellín,Tecnología,"Monitor Samsung 24""",1,780000,780000,En línea
37,2025-07-04,Bogotá,Hogar,Licuadora Oster Pro,5,310000,1550000,En línea
